sample_id,batch_id,collection_timestamp,feed_type,moisture_pct,protein_pct,fiber_pct,energy_mcal_per_kg,mineral_deficiency_index,urea_pct,sand_silica_pct,aflatoxin_ppb,fungal_load_index,mould_index_pct,storage_temperature_c,ph,sampling_depth_cm,device_id,firmware_version,measurement_repeat,spoilage_flag,adulteration_type,quality_status,split
F000019,B006367,2025-01-01 08:57:25.554851828,Mineral Mixture,5.98,16.02,3.15,1.84,20.18,1.88,1.64,4.34,7.03,31.9,29.42,,56.2,DEV-0149,1.2.0,1,0,None,Good,train
F000020,B005673,2025-01-01 09:27:16.974565818,Cattle Feed Pellet,9.82,21.56,16.54,2.49,13.19,0.55,0.94,9.57,3.6,28.41,31.6,,14.2,DEV-0115,1.2.0,3,0,None,Good,train
F000021,B004733,2025-01-01 09:57:08.394279809,Cattle Feed Pellet,8.6,19.44,14.96,3.17,8.44,0.0,2.99,9.59,2.26,19.29,21.83,,39.2,DEV-0056,1.1.0,2,0,None,Good,validation
F000022,B003883,2025-01-01 10:26:59.813993799,Cattle Feed Pellet,14.4,15.52,12.13,2.59,13.87,2.17,0.01,6.51,5.07,29.94,33.69,,54.3,DEV-0046,1.1.0,2,0,None,Moderate,validation
F000023,B003848,2025-01-01 10:56:51.233707790,Feed Mash,16.11,23.12,19.6,2.49,28.8,0.96,0.0,5.29,1.89,40.44,35.52,,39.5,DEV-0056,1.2.0,3,0,None,Poor,train
F000024,B003067,2025-01-01 11:26:42.653421780,Silage,69.87,10.27,27.89,1.92,4.52,1.19,1.37,5.32,4.61,5.89,26.17,4.58,31.4,DEV-0130,1.0.0,2,0,None,Good,train
F000025,B007945,2025-01-01 11:56:34.073135771,Feed Mash,13.71,11.76,16.52,2.87,11.71,5.54,0.92,6.3,4.84,36.56,22.27,,10.1,DEV-0135,1.0.0,1,0,None,Moderate,test
F000026,B002457,2025-01-01 12:26:25.492849761,Cattle Feed Pellet,10.36,14.52,13.65,3.02,4.48,0.54,1.38,1.39,3.49,0.0,30.0,,27.0,DEV-0047,1.1.0,3,0,None,Good,validation
F000027,B001614,2025-01-01 12:56:16.912563752,Feed Mash,12.2,20.83,11.34,3.24,6.56,1.69,0.57,10.43,2.75,8.7,26.2,,48.4,DEV-0146,1.2.0,2,0,None,Moderate,train
F000028,B000065,2025-01-01 13:26:08.332277742,Silage,72.08,6.38,23.17,1.96,10.8,0.35,0.81,6.54,3.32,26.16,29.46,5.09,30.6,DEV-0037,1.2.0,1,0,None,Moderate,train
F000029,B005330,2025-01-01 13:55:59.751991733,Cattle Feed Pellet,9.13,13.08,16.87,3.08,19.38,4.23,0.36,5.16,3.5,41.28,24.25,,31.8,DEV-0141,1.2.0,2,0,None,Moderate,train
F000030,B005828,2025-01-01 14:25:51.171705723,Silage,69.48,7.47,25.7,2.22,10.68,1.51,1.1,9.96,3.29,9.0,29.45,5.17,39.0,DEV-0047,1.2.0,3,0,None,Poor,test
F000031,B007533,2025-01-01 14:55:42.591419713,Cattle Feed Pellet,14.69,20.19,12.71,3.21,7.57,0.6,0.0,4.2,1.48,0.3,30.84,,28.1,DEV-0051,1.1.0,3,0,None,Good,test
F000032,B000247,2025-01-01 15:25:34.011133704,Feed Mash,14.59,21.85,20.22,2.35,32.78,0.0,0.89,56.02,8.92,89.26,29.53,,42.8,DEV-0010,1.1.0,3,0,Mould/Fungal Contamination,Unsafe,train
F000033,B008903,2025-01-01 15:55:25.430847694,Silage,50.97,10.01,21.48,1.71,22.31,0.01,0.69,3.92,0.99,22.48,28.22,5.57,6.4,DEV-0081,1.0.0,3,1,None,Poor,train
F000034,B002311,2025-01-01 16:25:16.850561685,Silage,66.44,6.31,28.9,,21.47,1.75,0.17,69.08,7.38,63.7,28.84,6.07,1.3,DEV-0031,1.0.0,3,1,Mould/Fungal Contamination,Unsafe,validation
F000035,B003145,2025-01-01 16:55:08.270275675,Cattle Feed Pellet,14.22,24.67,18.54,2.7,28.48,5.59,0.16,3.02,5.58,29.82,20.94,,50.9,DEV-0028,1.0.0,1,0,None,Moderate,train
F000036,B000525,2025-01-01 17:24:59.689989666,Feed Mash,8.83,20.04,15.12,2.42,15.23,0.6,2.32,2.36,2.1,11.71,32.84,,15.1,DEV-0048,1.2.0,1,0,None,Good,train
F000037,B007760,2025-01-01 17:54:51.109703656,Feed Mash,15.56,16.62,16.12,3.14,13.59,0.18,2.01,2.94,6.26,18.37,24.54,,32.0,DEV-0136,1.2.0,1,0,None,Good,validation
F000038,B002844,2025-01-01 18:24:42.529417647,Silage,73.23,9.04,31.08,1.97,7.26,1.14,2.48,4.81,0.82,0.0,30.58,4.76,48.9,DEV-0115,1.2.0,1,0,None,Moderate,test
F000039,B002919,2025-01-01 18:54:33.949131637,Silage,58.86,8.49,20.64,2.46,23.35,0.0,0.15,73.32,5.5,69.12,32.15,4.64,40.2,DEV-0030,1.0.0,2,1,Mould/Fungal Contamination,Unsafe,train
F000040,B003098,2025-01-01 19:24:25.368845628,Cattle Feed Pellet,5.2,14.53,10.8,3.35,11.64,0.0,0.82,4.72,3.01,10.06,29.37,,39.7,DEV-0047,1.0.0,3,0,None,Good,train
F000041,B003332,2025-01-01 19:54:16.788559618,Cattle Feed Pellet,10.04,17.52,8.3,3.23,11.56,0.14,3.5,4.38,1.04,5.4,23.47,,39.4,DEV-0063,1.1.0,1,0,None,Moderate,validation
F000042,B004083,2025-01-01 20:24:08.208273609,Mineral Mixture,2.45,12.4,7.48,2.22,12.07,1.77,2.21,3.2,3.33,13.81,33.43,,55.7,DEV-0001,1.1.0,3,0,None,Good,test
F000043,B005947,2025-01-01 20:53:59.627987599,Feed Mash,9.84,11.39,18.83,2.53,18.66,0.4,0.22,10.58,3.32,36.84,23.45,,15.6,DEV-0085,1.1.0,3,0,None,Poor,train
F000044,B007833,2025-01-01 21:23:51.047701590,Cattle Feed Pellet,10.49,17.23,16.7,2.7,10.63,3.93,2.75,1.09,3.42,29.6,24.14,,58.8,DEV-0093,1.1.0,1,0,None,Good,validation
F000045,B006845,2025-01-01 21:53:42.467415580,Cattle Feed Pellet,8.5,20.06,18.95,2.26,8.79,0.2,2.26,1.63,0.25,6.81,36.64,,36.5,DEV-0097,1.1.0,2,0,None,Good,train
F000046,B001573,2025-01-01 22:23:33.887129570,Cattle Feed Pellet,11.27,22.09,10.87,2.66,16.89,2.41,0.0,3.51,3.09,30.82,29.31,,14.3,DEV-0044,1.2.0,2,0,None,Moderate,train
F000047,B001080,2025-01-01 22:53:25.306843561,Silage,61.11,11.92,26.78,2.4,10.4,0.3,3.29,4.08,5.21,17.04,21.16,5.62,13.8,DEV-0078,1.1.0,2,1,None,Poor,validation
F000048,B000409,2025-01-01 23:23:16.726557551,Cattle Feed Pellet,13.51,,18.16,2.56,23.52,0.4,4.02,1.64,5.56,13.63,30.83,,54.7,DEV-0027,1.1.0,2,0,None,Moderate,train
F000049,B007637,2025-01-01 23:53:08.146271542,Cattle Feed Pellet,17.42,19.65,16.63,2.64,16.94,0.45,0.0,48.85,6.26,66.45,37.07,,18.9,DEV-0101,1.1.0,3,0,Mould/Fungal Contamination,Unsafe,train
F000050,B007226,2025-01-02 00:22:59.565985532,Feed Mash,19.89,16.97,15.64,2.72,12.84,0.92,1.82,3.53,6.61,19.36,29.93,,31.4,DEV-0059,1.2.0,1,0,None,Poor,train
F000051,B000798,2025-01-02 00:52:50.985699523,Cattle Feed Pellet,15.52,14.15,20.03,2.84,12.73,2.57,0.0,1.52,2.59,11.6,27.72,,5.0,DEV-0072,1.1.0,2,0,None,Moderate,train
F000052,B004099,2025-01-02 01:22:42.405413513,Silage,64.26,13.0,17.31,2.62,25.41,1.92,1.32,3.09,6.71,36.01,26.5,4.4,20.1,DEV-0034,1.0.0,2,0,None,Good,train
F000053,B000509,2025-01-02 01:52:33.825127504,Silage,84.14,10.21,23.05,2.49,14.16,0.51,1.51,2.66,2.44,0.0,35.51,5.2,56.5,DEV-0012,1.0.0,1,0,None,Poor,test
F000054,B003947,2025-01-02 02:22:25.244841494,Feed Mash,19.86,17.1,22.84,2.55,3.4,1.63,0.0,2.97,4.46,17.29,34.32,,33.0,DEV-0042,1.1.0,2,0,None,Good,test
F000055,B000825,2025-01-02 02:52:16.664555485,Mineral Mixture,4.8,9.19,4.63,1.51,4.82,1.8,1.71,0.56,3.76,1.83,25.66,,38.0,DEV-0010,1.1.0,2,0,None,Good,validation
F000056,B002939,2025-01-02 03:22:08.084269475,Cattle Feed Pellet,10.22,19.14,7.0,2.8,12.58,0.0,1.57,13.39,1.71,7.07,21.32,,57.0,DEV-0103,1.2.0,2,0,None,Moderate,train
F000057,B001340,2025-01-02 03:51:59.503983466,Silage,63.56,6.31,29.5,2.23,29.33,1.65,0.48,3.76,4.52,43.02,24.94,5.22,0.7,DEV-0111,1.1.0,3,0,None,Moderate,train
F000058,B002152,2025-01-02 04:21:50.923697456,Silage,47.15,7.16,22.67,2.79,6.6,4.59,0.25,2.98,0.99,41.16,39.27,4.39,19.0,DEV-0040,1.1.0,1,1,None,Poor,train
F000059,B001601,2025-01-02 04:51:42.343411447,Cattle Feed Pellet,15.21,22.36,13.5,3.24,11.42,1.23,1.58,2.08,0.0,9.83,23.31,,27.7,DEV-0117,1.1.0,1,0,None,Moderate,train
F000060,B002104,2025-01-02 05:21:33.763125437,Cattle Feed Pellet,8.79,18.43,12.11,2.52,11.35,1.99,1.12,0.3,2.04,0.0,36.32,,47.5,DEV-0087,1.0.0,3,0,None,Moderate,validation
F000061,B002109,2025-01-02 05:51:25.182839427,Silage,64.62,7.66,17.41,2.37,10.92,0.0,0.84,3.57,4.67,0.0,34.32,5.08,14.1,DEV-0114,1.1.0,1,0,None,Moderate,train
F000062,B002072,2025-01-02 06:21:16.602553418,Cattle Feed Pellet,15.24,16.34,13.54,2.75,13.72,0.88,1.16,2.21,6.34,13.17,30.79,,39.6,DEV-0021,1.2.0,3,0,None,Moderate,train
F000063,B002716,2025-01-02 06:51:08.022267408,Cattle Feed Pellet,11.41,18.19,,2.57,16.12,2.59,0.46,1.09,3.55,6.86,33.57,,29.6,DEV-0047,1.0.0,2,0,None,Good,train
F000064,B001947,2025-01-02 07:20:59.441981399,Silage,74.77,10.54,29.49,2.23,2.4,3.31,0.0,0.8,3.79,0.0,36.29,4.97,7.0,DEV-0132,1.1.0,2,0,None,Poor,train
F000065,B001711,2025-01-02 07:50:50.861695389,Cattle Feed Pellet,10.44,21.18,19.24,2.73,10.99,0.46,2.34,6.92,3.9,9.16,25.57,,41.6,DEV-0140,1.2.0,3,0,None,Good,validation
F000066,B002584,2025-01-02 08:20:42.281409380,Mineral Mixture,5.51,10.16,7.85,1.6,26.14,2.43,1.17,72.2,7.48,92.52,34.91,,47.6,DEV-0067,1.0.0,1,0,Mould/Fungal Contamination,Unsafe,validation
F000067,B005582,2025-01-02 08:50:33.701123370,Cattle Feed Pellet,12.44,21.1,18.9,2.35,16.9,3.79,0.0,1.09,3.02,24.67,34.75,,37.2,DEV-0056,1.1.0,3,0,None,Moderate,train
F000068,B001252,2025-01-02 09:20:25.120837361,Cattle Feed Pellet,9.33,16.45,13.5,2.87,14.5,0.98,0.0,1.42,2.83,8.98,28.66,,58.0,DEV-0027,1.2.0,2,0,None,Good,test
F000069,B003080,2025-01-02 09:50:16.540551351,Silage,61.68,4.0,28.25,2.09,11.97,4.06,2.3,5.27,2.62,20.12,24.71,4.85,33.9,DEV-0086,1.0.0,2,0,None,Good,validation
F000070,B000144,2025-01-02 10:20:07.960265342,Cattle Feed Pellet,13.22,18.76,23.35,2.46,14.07,6.24,1.15,10.56,5.75,42.1,39.15,,45.2,DEV-0099,1.2.0,2,0,None,Poor,train
F000071,B007884,2025-01-02 10:49:59.379979332,Cattle Feed Pellet,10.04,24.16,12.87,2.3,28.86,0.6,0.94,12.7,2.38,44.37,38.31,,28.6,DEV-0137,1.2.0,1,0,None,Poor,train
F000072,B004354,2025-01-02 11:19:50.799693323,Cattle Feed Pellet,14.71,17.65,19.22,3.01,15.74,0.98,1.0,9.28,5.68,45.89,31.76,,52.6,DEV-0073,1.1.0,1,0,None,Poor,train
F000073,B001439,2025-01-02 11:49:42.219407313,Silage,66.27,6.33,33.0,1.3,25.03,1.5,1.89,40.0,3.91,44.1,30.15,5.21,8.1,DEV-0034,1.2.0,3,0,None,Poor,train
F000074,B003499,2025-01-02 12:19:33.639121304,Cattle Feed Pellet,8.88,25.74,10.61,3.09,12.79,3.02,0.97,5.76,2.6,0.7,31.99,,41.0,DEV-0125,1.2.0,1,0,None,Good,train
F000075,B006212,2025-01-02 12:49:25.058835294,Silage,59.66,6.98,31.08,2.8,0.0,0.24,0.0,1.9,4.45,0.0,21.65,4.85,11.5,DEV-0004,1.1.0,1,0,None,Moderate,train
F000076,B002475,2025-01-02 13:19:16.478549284,Feed Mash,8.83,10.44,12.17,2.82,18.22,1.92,1.13,4.7,4.43,20.77,25.7,,50.8,DEV-0074,1.2.0,3,0,None,Good,train
F000077,B006273,2025-01-02 13:49:07.898263275,Silage,60.84,9.2,21.17,1.83,25.14,1.59,0.0,2.72,0.0,30.19,30.69,4.63,32.9,DEV-0064,1.1.0,3,0,None,Good,train
F000078,B004445,2025-01-02 14:18:59.317977265,Silage,69.02,10.43,24.84,2.35,13.65,1.84,0.84,6.88,3.38,42.11,32.63,6.0,32.4,DEV-0020,1.1.0,3,1,None,Poor,test
F000079,B000345,2025-01-02 14:48:50.737691256,Silage,85.97,7.6,31.43,2.23,22.53,0.16,1.24,46.9,8.38,57.57,37.06,5.82,32.8,DEV-0070,1.2.0,3,1,Mould/Fungal Contamination,Unsafe,train
F000080,B002422,2025-01-02 15:18:42.157405246,Silage,71.07,7.48,30.67,2.27,8.6,1.89,0.52,1.09,3.18,13.4,33.46,5.0,42.2,DEV-0021,1.0.0,2,0,Excess Salt,Poor,train
F000081,B007397,2025-01-02 15:48:33.577119237,Feed Mash,14.81,12.43,19.16,2.37,24.61,0.68,1.58,12.37,8.3,44.54,25.51,,38.0,DEV-0146,1.1.0,3,0,None,Poor,train
F000082,B007969,2025-01-02 16:18:24.996833227,Cattle Feed Pellet,14.5,20.8,10.28,2.91,27.4,13.52,17.34,67.85,12.92,94.86,32.7,,50.5,DEV-0080,1.2.0,1,0,Urea Adulteration,Unsafe,train
F000083,B008271,2025-01-02 16:48:16.416547218,Silage,71.94,4.11,25.61,1.9,18.14,6.37,0.61,4.95,2.43,47.52,36.1,5.71,16.8,DEV-0072,1.1.0,3,1,None,Poor,validation
F000084,B003213,2025-01-02 17:18:07.836261208,Feed Mash,13.24,16.5,15.19,2.23,6.14,4.27,4.45,4.93,3.58,21.05,31.62,,3.2,DEV-0027,1.2.0,1,0,None,Good,train
F000085,B002573,2025-01-02 17:47:59.255975199,Feed Mash,12.89,17.96,13.12,2.76,5.27,0.0,4.01,1.68,3.1,21.84,30.78,,51.0,DEV-0107,1.1.0,2,0,None,Moderate,train
F000086,B004800,2025-01-02 18:17:50.675689189,Silage,83.68,5.7,18.21,2.19,17.17,0.84,0.0,4.56,2.09,39.52,29.11,4.87,40.6,DEV-0133,1.1.0,1,0,None,Poor,validation
F000087,B004584,2025-01-02 18:47:42.095403180,Feed Mash,16.14,18.59,13.73,2.27,1.94,2.13,0.48,1.32,0.82,3.48,28.31,,5.1,DEV-0114,1.1.0,2,0,None,Good,train
F000088,B004261,2025-01-02 19:17:33.515117170,Silage,76.67,9.94,25.61,2.03,0.0,0.0,3.91,2.45,2.27,1.53,28.58,,50.8,DEV-0118,1.2.0,1,0,None,Poor,validation
F000089,B005546,2025-01-02 19:47:24.934831161,Feed Mash,16.48,19.68,18.4,2.8,17.66,2.54,1.95,2.45,0.25,5.96,28.13,,49.6,DEV-0066,1.2.0,3,0,None,Moderate,train
F000090,B002789,2025-01-02 20:17:16.354545151,Silage,68.11,10.64,22.12,1.91,22.88,1.0,0.0,4.47,4.12,27.26,33.75,5.45,8.8,DEV-0084,1.0.0,1,0,None,Good,validation
F000091,B007314,2025-01-02 20:47:07.774259141,Silage,66.18,11.83,23.45,2.66,15.8,0.33,0.0,5.65,2.48,22.35,25.53,5.16,4.4,DEV-0105,1.0.0,2,0,None,Good,test
F000092,B005009,2025-01-02 21:16:59.193973132,Silage,64.28,10.94,,2.05,16.27,0.58,0.18,2.21,3.38,10.78,22.86,5.04,0.7,DEV-0125,1.0.0,2,0,None,Good,train
F000093,B006215,2025-01-02 21:46:50.613687122,Cattle Feed Pellet,13.2,20.94,12.57,3.5,17.65,1.23,0.68,6.64,8.31,26.31,33.82,,12.2,DEV-0100,1.1.0,1,0,None,Poor,train
F000094,B006407,2025-01-02 22:16:42.033401113,Cattle Feed Pellet,12.77,21.03,19.34,2.16,7.04,0.0,2.62,5.35,5.86,18.92,23.39,,51.0,DEV-0093,1.1.0,2,0,None,Good,test
F000095,B001000,2025-01-02 22:46:33.453115103,Silage,62.87,6.09,27.28,2.0,15.12,0.0,0.07,2.67,0.0,22.19,25.01,4.71,23.5,DEV-0058,1.1.0,3,0,None,Good,train
F000096,B001350,2025-01-02 23:16:24.872829094,Cattle Feed Pellet,17.58,13.06,17.59,2.9,17.56,5.49,0.87,6.49,4.06,32.25,22.27,,0.6,DEV-0080,1.1.0,2,0,None,Good,train
F000097,B003858,2025-01-02 23:46:16.292543084,Feed Mash,9.38,18.01,21.84,,9.55,2.57,1.13,6.16,2.75,3.99,18.8,,53.1,DEV-0046,1.2.0,3,0,None,Good,train
F000098,B004866,2025-01-03 00:16:07.712257075,Cattle Feed Pellet,12.49,,23.38,3.18,33.52,1.55,1.49,11.02,6.74,35.43,34.09,,41.7,DEV-0004,1.1.0,2,0,None,Poor,validation
F000099,B004381,2025-01-03 00:45:59.131971065,Feed Mash,12.55,16.41,16.98,2.5,35.68,13.45,0.3,69.02,10.15,100.0,30.83,,3.4,DEV-0016,1.0.0,3,0,Urea Adulteration,Unsafe,train
F000100,B006849,2025-01-03 01:15:50.551685056,Cattle Feed Pellet,10.57,19.58,14.53,3.5,9.98,1.19,1.33,13.68,5.57,2.34,26.92,,46.8,DEV-0142,1.1.0,3,0,None,Poor,test
F000101,B006300,2025-01-03 01:45:41.971399046,Cattle Feed Pellet,13.15,14.75,11.62,2.77,9.18,0.92,1.99,1.91,5.85,0.0,30.99,,48.4,DEV-0023,1.1.0,1,0,None,Good,train
F000102,B008283,2025-01-03 02:15:33.391113037,Silage,67.77,10.77,37.72,2.38,23.94,1.71,8.93,31.73,2.68,46.84,33.04,5.62,0.6,DEV-0064,1.2.0,3,1,Sand/Silica Contamination,Unsafe,train
F000103,B008474,2025-01-03 02:45:24.810827027,Silage,59.67,9.03,25.89,,9.81,0.0,1.49,5.46,2.46,30.63,15.0,5.14,58.9,DEV-0148,1.1.0,2,0,None,Good,train
F000104,B001623,2025-01-03 03:15:16.230541018,Feed Mash,10.61,13.91,18.36,2.47,9.97,1.62,0.92,1.9,6.77,34.2,36.81,,48.8,DEV-0083,1.1.0,1,0,None,Poor,train
F000105,B001392,2025-01-03 03:45:07.650255008,Cattle Feed Pellet,13.33,21.91,11.5,3.12,18.17,0.0,0.07,12.46,2.26,17.0,33.01,,28.9,DEV-0107,1.1.0,3,0,None,Moderate,train
F000106,B006036,2025-01-03 04:14:59.069968998,Feed Mash,13.6,,12.78,1.73,18.99,7.44,0.0,10.38,7.36,40.03,30.42,,41.7,DEV-0090,1.2.0,2,0,None,Poor,train
F000107,B003799,2025-01-03 04:44:50.489682989,Silage,63.81,6.45,,1.95,12.91,0.84,0.99,0.89,1.73,0.0,38.0,5.47,50.6,DEV-0095,1.0.0,3,1,Excess Salt,Poor,validation
F000108,B007694,2025-01-03 05:14:41.909396979,Cattle Feed Pellet,7.8,19.73,17.8,3.03,9.1,0.31,2.19,5.28,2.63,19.3,32.08,,29.9,DEV-0049,1.2.0,1,0,None,Good,validation
F000109,B006854,2025-01-03 05:44:33.329110970,Silage,68.69,5.69,22.19,2.03,14.96,0.78,1.48,1.08,6.57,35.41,34.86,5.37,43.0,DEV-0106,1.1.0,1,0,None,Good,train
F000110,B002980,2025-01-03 06:14:24.748824960,Silage,65.05,7.01,26.64,2.43,8.34,1.54,1.59,1.6,0.0,10.75,25.84,4.16,35.7,DEV-0083,1.2.0,1,0,None,Good,train
F000111,B007219,2025-01-03 06:44:16.168538951,Silage,56.73,10.05,39.11,2.14,12.74,3.08,0.76,4.28,3.38,12.9,27.26,5.72,47.4,DEV-0135,1.1.0,1,1,None,Poor,train
F000112,B002221,2025-01-03 07:14:07.588252941,Silage,68.05,6.59,29.14,1.62,17.72,0.11,2.52,9.83,5.52,22.87,32.44,5.42,5.6,DEV-0096,1.1.0,1,0,None,Good,train
F000113,B006833,2025-01-03 07:43:59.007966932,Cattle Feed Pellet,7.7,21.2,16.43,2.52,10.2,0.64,1.26,15.5,3.22,8.57,34.42,,43.2,DEV-0026,1.0.0,3,0,None,Moderate,validation
F000114,B008535,2025-01-03 08:13:50.427680922,Feed Mash,18.26,11.64,20.23,2.68,8.51,1.61,0.57,9.16,3.4,16.16,34.29,,32.6,DEV-0110,1.1.0,2,0,None,Poor,test
F000115,B000518,2025-01-03 08:43:41.847394913,Feed Mash,13.82,18.75,11.51,2.69,5.28,0.75,1.47,3.78,2.72,9.36,21.44,,26.0,DEV-0049,1.1.0,2,0,None,Good,train
F000116,B005110,2025-01-03 09:13:33.267108903,Feed Mash,11.62,11.85,22.94,2.73,12.1,0.91,0.88,41.34,9.19,36.5,37.71,,33.9,DEV-0036,1.2.0,2,0,None,Poor,train
F000117,B008124,2025-01-03 09:43:24.686822894,Cattle Feed Pellet,8.12,23.71,16.77,3.5,13.25,2.03,0.94,3.67,3.62,29.22,30.89,,39.2,DEV-0136,1.0.0,2,0,None,Good,train
F000118,B003862,2025-01-03 10:13:16.106536884,Mineral Mixture,3.9,15.24,4.38,2.43,6.79,1.49,1.6,2.95,6.94,8.76,32.33,,47.0,DEV-0053,1.2.0,2,0,None,Good,train
F000119,B000155,2025-01-03 10:43:07.526250875,Mineral Mixture,3.84,9.35,5.32,1.88,11.65,2.46,0.37,2.76,1.2,8.51,25.9,,21.6,DEV-0134,1.2.0,2,0,None,Good,train
F000120,B008546,2025-01-03 11:12:58.945964865,Feed Mash,18.25,12.18,16.06,2.39,21.64,0.99,0.76,49.38,4.34,42.5,36.42,,38.5,DEV-0034,1.2.0,2,0,None,Unsafe,train
F000121,B006109,2025-01-03 11:42:50.365678855,Mineral Mixture,5.38,5.74,1.12,1.46,29.67,0.08,0.93,45.77,6.98,41.45,35.32,,34.9,DEV-0134,1.2.0,1,0,None,Poor,train
F000122,B000356,2025-01-03 12:12:41.785392846,Cattle Feed Pellet,14.95,18.59,16.59,2.03,29.3,8.94,11.04,14.95,5.61,63.47,24.33,,23.7,DEV-0064,1.0.0,3,0,Urea Adulteration,Unsafe,train
F000123,B008565,2025-01-03 12:42:33.205106836,Feed Mash,16.94,16.4,18.09,2.69,13.14,5.27,0.0,3.75,0.17,35.97,38.91,,46.9,DEV-0004,1.0.0,2,0,None,Poor,train
F000124,B007504,2025-01-03 13:12:24.624820827,Cattle Feed Pellet,6.18,22.85,19.27,2.7,18.94,0.88,0.52,7.17,2.42,36.57,30.48,,21.6,DEV-0013,1.0.0,2,0,None,Good,train
F000125,B006655,2025-01-03 13:42:16.044534817,Cattle Feed Pellet,9.07,14.35,10.87,2.9,26.29,3.56,0.76,2.08,3.95,13.47,28.76,,47.6,DEV-0102,1.1.0,2,0,None,Good,test
